access_pattern_requested,block_size,buffer_size,buffer_size_gb_requested,command,cpu_node,cxl_nodes,device_path,duration_requested,enable_numa,is_cxl_mem,kernel_demotion_enabled,kernel_numa_balancing,kernel_promote_rate_mbps,local_nodes,memory_numa_node,num_readers,num_threads,num_writers,numa_node,peak_cxl_mb,peak_local_mb,peak_total_mb,placement,policy,policy_label,random_access,read_bandwidth_mbps,read_iops,read_ratio,read_ratio_requested,real_cxl_visible,returncode,run_id,sample_count,status,test_duration,threads_requested,total_bandwidth_mbps,total_iops,total_read_bytes,total_read_ops,total_write_bytes,total_write_ops,use_mmap,used_numa_alloc,wall_clock_s,write_bandwidth_mbps,write_iops
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 0.0 --json --no-numa --random,0,,,3,False,False,false,0,65536,0,-1,0,16,16,0,0,1028.5546875,1028.5546875,kernel,default,"Default, NUMA balancing off",True,0,0,0,0.0,False,0,0001_default_random_t16_r0.00,7,success,3.00016,16,17372.1,4447260.0,0,0,54650941440,13342515,False,False,3.7005515098571777,17372.1,4447260.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 0.5 --json --no-numa --random,0,,,3,False,False,false,0,65536,0,-1,8,16,8,0,0,1028.515625,1028.515625,kernel,default,"Default, NUMA balancing off",True,13132.4,3361890.0,0.5,0.5,False,0,0002_default_random_t16_r0.50,7,success,3.00016,16,24163.6,6185890.0,41313087488,10086203,34703122432,8472442,False,False,3.7117254734039307,11031.2,2824000.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 1.0 --json --no-numa --random,0,,,3,False,False,false,0,65536,0,-1,16,16,0,0,0,1028.6484375,1028.6484375,kernel,default,"Default, NUMA balancing off",True,31547.1,8076050.0,1,1.0,False,0,0003_default_random_t16_r1.00,7,success,3.0001,16,31547.1,8076050.0,99241771008,24228948,0,0,False,False,3.7283520698547363,0,0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 0.0 --json --no-numa --random,0,,,3,False,False,false,0,65536,0,-1,0,48,48,0,0,1029.3046875,1029.3046875,kernel,default,"Default, NUMA balancing off",True,0,0,0,0.0,False,0,0004_default_random_t48_r0.00,5,success,3.00057,48,17694.9,4529880.0,0,0,55673724928,13592218,False,False,3.3114964962005615,17694.9,4529880.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 0.5 --json --no-numa --random,0,,,3,False,False,false,0,65536,0,-1,24,48,24,0,0,1029.421875,1029.421875,kernel,default,"Default, NUMA balancing off",True,11430.3,2926170.0,0.5,0.5,False,0,0005_default_random_t48_r0.50,6,success,3.00217,48,23320.7,5970090.0,35982729216,8784846,37430771712,9138372,False,False,3.7583305835723877,11890.3,3043920.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 1.0 --json --no-numa --random,0,,,3,False,False,false,0,65536,0,-1,48,48,0,0,0,1029.296875,1029.296875,kernel,default,"Default, NUMA balancing off",True,39581.2,10132800.0,1,1.0,False,0,0006_default_random_t48_r1.00,6,success,3.00016,48,39581.2,10132800.0,124518633472,30400057,0,0,False,False,3.5261025428771973,0,0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 0.0 --json --no-numa --random,0,,,3,False,False,false,1,65536,0,-1,0,16,16,0,0,1028.5234375,1028.5234375,kernel,autonuma,AutoNUMA,True,0,0,0,0.0,False,0,0007_autonuma_random_t16_r0.00,7,success,3.00014,16,17522.1,4485650.0,0,0,55122313216,13457596,False,False,3.6947803497314453,17522.1,4485650.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 0.5 --json --no-numa --random,0,,,3,False,False,false,1,65536,0,-1,8,16,8,0,0,1028.48828125,1028.48828125,kernel,autonuma,AutoNUMA,True,12410.4,3177080.0,0.5,0.5,False,0,0008_autonuma_random_t16_r0.50,7,success,3.0002,16,23737.9,6076900.0,39042445312,9531847,35635392512,8700047,False,False,3.6921651363372803,11327.4,2899830.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 1.0 --json --no-numa --random,0,,,3,False,False,false,1,65536,0,-1,16,16,0,0,0,1028.52734375,1028.52734375,kernel,autonuma,AutoNUMA,True,31630,8097270.0,1,1.0,False,0,0009_autonuma_random_t16_r1.00,7,success,3.00015,16,31630,8097270.0,99504336896,24293051,0,0,False,False,3.641036033630371,0,0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 0.0 --json --no-numa --random,0,,,3,False,False,false,1,65536,0,-1,0,48,48,0,0,1029.41796875,1029.41796875,kernel,autonuma,AutoNUMA,True,0,0,0,0.0,False,0,0010_autonuma_random_t48_r0.00,6,success,3.00068,48,17740.5,4541580.0,0,0,55819481088,13627803,False,False,3.7405498027801514,17740.5,4541580.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 0.5 --json --no-numa --random,0,,,3,False,False,false,1,65536,0,-1,24,48,24,0,0,1029.44921875,1029.44921875,kernel,autonuma,AutoNUMA,True,11721.3,3000660.0,0.5,0.5,False,0,0011_autonuma_random_t48_r0.50,6,success,3.00071,48,23501.6,6016420.0,36880834560,9004110,37066457088,9049428,False,False,3.7407357692718506,11780.3,3015760.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 1.0 --json --no-numa --random,0,,,3,False,False,false,1,65536,0,-1,48,48,0,0,0,1029.2890625,1029.2890625,kernel,autonuma,AutoNUMA,True,39556.7,10126500.0,1,1.0,False,0,0012_autonuma_random_t48_r1.00,6,success,3.00081,48,39556.7,10126500.0,124468342784,30387779,0,0,False,False,3.559037923812866,0,0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 0.0 --json --no-numa --random,0,,,3,False,False,true,2,65536,0,-1,0,16,16,0,0,1028.61328125,1028.61328125,kernel,tpp,TPP / memory tiering,True,0,0,0,0.0,False,0,0013_tpp_random_t16_r0.00,7,success,3.00019,16,17546.1,4491810.0,0,0,55198769152,13476262,False,False,3.7271413803100586,17546.1,4491810.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 0.5 --json --no-numa --random,0,,,3,False,False,true,2,65536,0,-1,8,16,8,0,0,1028.53125,1028.53125,kernel,tpp,TPP / memory tiering,True,11643.8,2980820.0,0.5,0.5,False,0,0014_tpp_random_t16_r0.50,7,success,3.00022,16,23415.8,5994450.0,36630978560,8943110,37034205184,9041554,False,False,3.6845638751983643,11772,3013630.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 16 --duration 3 --read-ratio 1.0 --json --no-numa --random,0,,,3,False,False,true,2,65536,0,-1,16,16,0,0,0,1028.53125,1028.53125,kernel,tpp,TPP / memory tiering,True,31672.9,8108270.0,1,1.0,False,0,0015_tpp_random_t16_r1.00,7,success,3.00024,16,31672.9,8108270.0,99642503168,24326783,0,0,False,False,3.651683807373047,0,0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 0.0 --json --no-numa --random,0,,,3,False,False,true,2,65536,0,-1,0,48,48,0,0,1029.2890625,1029.2890625,kernel,tpp,TPP / memory tiering,True,0,0,0,0.0,False,0,0016_tpp_random_t48_r0.00,6,success,3.00072,48,17757.2,4545840.0,0,0,55872704512,13640797,False,False,3.6472373008728027,17757.2,4545840.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 0.5 --json --no-numa --random,0,,,3,False,False,true,2,65536,0,-1,24,48,24,0,0,1029.421875,1029.421875,kernel,tpp,TPP / memory tiering,True,11634,2978300.0,0.5,0.5,False,0,0017_tpp_random_t48_r0.50,6,success,3.00025,48,23397.4,5989730.0,36600434688,8935653,37007536128,9035043,False,False,3.731853485107422,11763.4,3011430.0
random,4096,1073741824,1.0,numactl --cpunodebind=0 /root/schedcp/workloads/cxl-micro/double_bandwidth --buffer-size 1073741824 --threads 48 --duration 3 --read-ratio 1.0 --json --no-numa --random,0,,,3,False,False,true,2,65536,0,-1,48,48,0,0,0,1029.28515625,1029.28515625,kernel,tpp,TPP / memory tiering,True,39312.6,10064000.0,1,1.0,False,0,0018_tpp_random_t48_r1.00,6,success,3.0007,48,39312.6,10064000.0,123695837184,30199179,0,0,False,False,3.4770827293395996,0,0
